# cid2code.txt (Version 10/24/2017)
#
# The data in this table contains nineteen tab-delimited columns of
# information. The contents of this file supplement "The Adobe-CNS1-7
# Character Collection" (formerly Adobe Tech Note #5080):
#
# https://github.com/adobe-type-tools/Adobe-CNS1/
#
# This table contains lists CIDs 0 through 19178 in the first column,
# and provides additional columns that indicate whether a CID is used
# in a particular CMap file, and if so, provides the encoded value.
# Here are some common aspects of the data that you will find in this
# table:
#
# o All character codes are provided in hexadecimal notation.
#
# o Many of the CMap files indicated at the head of each column have
#   both "-H" (horizontal writing mode) and "-V" (vertical writing
#   mode) versions. Those with only a "-H" version are explicitly
#   shown with the "-H" appended. Those with both do not have a
#   writing mode suffix.
#
# o The character codes found in a corresponding "-V" (vertical
#   writing mode) CMap file are indicated by a "v" appended to the
#   hexadecimal code.
#
# o There may be cases of single CIDs being referenced in multiple
#   encoding points within a single CMap file. These cases are
#   comma-delimited, within the same column.
#
# The following is a synopsis of columns 2 through 19, and provides
# information about character set and encoding:
#
# o Column 2: Character codes for the "B5-H" and "B5-V" CMaps (Big
#   Five character set, Big Five encoding, half-width Latin
#   characters).
#
# o Column 3: Character codes for the "B5pc-H" and "B5pc-V" CMaps
#   (MacOS-T character set, Big Five encoding, proportional Latin
#   characters).
#
# o Column 4: Character codes for the "ETen-B5-H" and "ETen-B5-V"
#   CMaps (Big Five character set with ETen extensions, Big Five
#   encoding, half-width Latin characters).
#
# o Column 5: Character codes for the "ETenms-B5-H" and
#   "ETenms-B5-V" CMaps (Big Five character set with ETen extensions,
#   Big Five encoding, proportional Latin characters).
#
# o Column 6: Character codes for the "CNS1-H" and "CNS1-V" CMaps
#   (CNS 11643-1992 character set, Plane 1, ISO-2022-CN encoding).
#
# o Column 7: Character codes for the "CNS2-H" and "CNS2-V" CMaps
#   (CNS 11643-1992 character set, Plane 2, ISO-2022-CN encoding).
#
# o Column 8: Character codes for the "CNS-EUC-H" and "CNS-EUC-V"
#   CMaps (CNS 11643-1992 character set, Planes 1 and 2, EUC-TW
#   encoding, half-width Latin characters).
#
# o Column 9: Character codes for the "UniCNS-UCS2-H" and
#   "UniCNS-UCS2-V" CMaps (Unicode UCS-2 encoding, proportional
#   Latin characters).
#   (NOTE: These two CMap files are no longer being maintained. The
#   use of the UTF-8, UTF-16, and UTF-32 CMap files is recommended.)
#
# o Column 10: Character codes for the "UniCNS-UTF8-H" and
#   "UniCNS-UTF8-V" CMaps (Unicode 10.0 UTF-8 encoding, proportional Latin
#   characters).
#
# o Column 11: Character codes for the "UniCNS-UTF16-H" and
#   "UniCNS-UTF16-V" CMaps (Unicode 10.0 UTF-16 encoding, proportional
#   Latin characters).
#
# o Column 12: Character codes for the "UniCNS-UTF32-H" and
#   "UniCNS-UTF32-V" CMaps (Unicode 10.0 UTF-32 encoding, proportional
#   Latin characters).
#
# o Column 13: Character codes for the "ETHK-B5-H" and "ETHK-B5-V"
#   CMaps (Big Five character set with the ETen and Hong Kong SCS
#   extensions, Big Five encoding, proportional Latin characters).
#
# o Column 14: Character codes for the "HKdla-B5-H" and "HKdla-B5-V"
#   CMaps (Big Five character set with Dynalab's Hong Kong Extension
#   A with 784 Hong Kong hanzi, Big Five encoding, proportional Latin
#   characters).
#
# o Column 15: Character codes for the "HKdlb-B5-H" and "HKdlb-B5-V"
#   CMaps (Big Five character set with Dynalab's Hong Kong Extension
#   B with 665 Hong Kong hanzi, Big Five encoding, proportional Latin
#   characters).
#
# o Column 16: Character codes for the "HKgccs-B5-H" and "HKgccs-B5-V"
#   CMaps (Big Five character set with Hong Kong's GCCS extension, Big
#   Five encoding, proportional Latin characters).
#
# o Column 17: Character codes for the "HKm314-B5-H" and "HKm314-B5-V"
#   CMaps (Big Five character set with Monotype's Hong Kong extension
#   containing 314 Hong Kong hanzi, Big Five encoding, proportional
#   Latin characters).
#
# o Column 18: Character codes for the "HKm471-B5-H" and "HKm471-B5-V"
#   CMaps (Big Five character set with Monotype's Hong Kong extension
#   containing 471 Hong Kong hanzi, Big Five encoding, proportional
#   Latin characters).
#
# o Column 19: Character codes for the "HKscs-B5-H" and "HKscs-B5-V"
#   CMaps (Big Five character set with Hong Kong's SCS extension,
#   Big Five encoding, proportional Latin characters).
#
CID	B5	B5pc	ETen-B5	ETenms-B5	CNS1	CNS2	CNS-EUC	UniCNS-UCS2	UniCNS-UTF8	UniCNS-UTF16	UniCNS-UTF32	ETHK-B5	HKdla-B5	HKdlb-B5	HKgccs-B5	HKm314-B5	HKm471-B5	HKscs-B5
1474	a9c0	a9c0	a9c0	*	4d42	*	8ea1cdc2,cdc2,8ea1cdc2v,cdc2v	5ff5	e5bfb5	5ff5	00005ff5	a9c0	a9c0	a9c0	a9c0	a9c0	a9c0	a9c0
1475	a9c1	a9c1	a9c1	*	4d43	*	8ea1cdc3,cdc3,8ea1cdc3v,cdc3v	5fff	e5bfbf	5fff	00005fff	a9c1	a9c1	a9c1	a9c1	a9c1	a9c1	a9c1
1476	a9c2	a9c2	a9c2	*	4d44	*	8ea1cdc4,cdc4,8ea1cdc4v,cdc4v	600f	e6808f	600f	0000600f	a9c2	a9c2	a9c2	a9c2	a9c2	a9c2	a9c2
1477	a9c3	a9c3	a9c3	*	4d45	*	8ea1cdc5,cdc5,8ea1cdc5v,cdc5v	6014	e68094	6014	00006014	a9c3	a9c3	a9c3	a9c3	a9c3	a9c3	a9c3
1478	a9c4	a9c4	a9c4	*	4d46	*	8ea1cdc6,cdc6,8ea1cdc6v,cdc6v	602f	e680af	602f	0000602f	a9c4	a9c4	a9c4	a9c4	a9c4	a9c4	a9c4
1479	a9c5	a9c5	a9c5	*	4d47	*	8ea1cdc7,cdc7,8ea1cdc7v,cdc7v	6035	e680b5	6035	00006035	a9c5	a9c5	a9c5	a9c5	a9c5	a9c5	a9c5
1480	a9c6	a9c6	a9c6	*	4d48	*	8ea1cdc8,cdc8,8ea1cdc8v,cdc8v	6016	e68096	6016	00006016	a9c6	a9c6	a9c6	a9c6	a9c6	a9c6	a9c6
1481	a9c7	a9c7	a9c7	*	4d49	*	8ea1cdc9,cdc9,8ea1cdc9v,cdc9v	602a	e680aa	602a	0000602a	a9c7	a9c7	a9c7	a9c7	a9c7	a9c7	a9c7
1482	a9c8	a9c8	a9c8	*	4d4a	*	8ea1cdca,cdca,8ea1cdcav,cdcav	6015	e68095	6015	00006015	a9c8	a9c8	a9c8	a9c8	a9c8	a9c8	a9c8
1483	a9c9	a9c9	a9c9	*	4d4b	*	8ea1cdcb,cdcb,8ea1cdcbv,cdcbv	6021	e680a1	6021	00006021	a9c9	a9c9	a9c9	a9c9	a9c9	a9c9	a9c9
1484	a9ca	a9ca	a9ca	*	4d4c	*	8ea1cdcc,cdcc,8ea1cdccv,cdccv	6027	e680a7	6027	00006027	a9ca	a9ca	a9ca	a9ca	a9ca	a9ca	a9ca
1485	a9cb	a9cb	a9cb	*	4d4d	*	8ea1cdcd,cdcd,8ea1cdcdv,cdcdv	6029	e680a9	6029	00006029	a9cb	a9cb	a9cb	a9cb	a9cb	a9cb	a9cb
1486	a9cc	a9cc	a9cc	*	4d4e	*	8ea1cdce,cdce,8ea1cdcev,cdcev	602b	e680ab	602b	0000602b	a9cc	a9cc	a9cc	a9cc	a9cc	a9cc	a9cc
1487	a9cd	a9cd	a9cd	*	4d4f	*	8ea1cdcf,cdcf,8ea1cdcfv,cdcfv	601b	e6809b	601b	0000601b	a9cd	a9cd	a9cd	a9cd	a9cd	a9cd	a9cd
1488	a9ce	a9ce	a9ce	*	4d50	*	8ea1cdd0,cdd0,8ea1cdd0v,cdd0v	6216	e68896	6216	00006216	a9ce	a9ce	a9ce	a9ce	a9ce	a9ce	a9ce
1489	a9cf	a9cf	a9cf	*	4d51	*	8ea1cdd1,cdd1,8ea1cdd1v,cdd1v	6215	e68895	6215	00006215	a9cf	a9cf	a9cf	a9cf	a9cf	a9cf	a9cf
1490	a9d0	a9d0	a9d0	*	4d52	*	8ea1cdd2,cdd2,8ea1cdd2v,cdd2v	623f	e688bf	623f	0000623f	a9d0	a9d0	a9d0	a9d0	a9d0	a9d0	a9d0
1491	a9d1	a9d1	a9d1	*	4d53	*	8ea1cdd3,cdd3,8ea1cdd3v,cdd3v	623e	e688be	623e	0000623e	a9d1	a9d1	a9d1	a9d1	a9d1	a9d1	a9d1
1492	a9d2	a9d2	a9d2	*	4d54	*	8ea1cdd4,cdd4,8ea1cdd4v,cdd4v	6240	e68980	6240	00006240	a9d2	a9d2	a9d2	a9d2	a9d2	a9d2	a9d2
1493	a9d3	a9d3	a9d3	*	4d55	*	8ea1cdd5,cdd5,8ea1cdd5v,cdd5v	627f	e689bf	627f	0000627f	a9d3	a9d3	a9d3	a9d3	a9d3	a9d3	a9d3
1494	a9d4	a9d4	a9d4	*	4d56	*	8ea1cdd6,cdd6,8ea1cdd6v,cdd6v	62c9	e68b89	62c9	000062c9	a9d4	a9d4	a9d4	a9d4	a9d4	a9d4	a9d4
1495	a9d5	a9d5	a9d5	*	4d57	*	8ea1cdd7,cdd7,8ea1cdd7v,cdd7v	62cc	e68b8c	62cc	000062cc	a9d5	a9d5	a9d5	a9d5	a9d5	a9d5	a9d5
1496	a9d6	a9d6	a9d6	*	4d58	*	8ea1cdd8,cdd8,8ea1cdd8v,cdd8v	62c4	e68b84	62c4	000062c4	a9d6	a9d6	a9d6	a9d6	a9d6	a9d6	a9d6
1497	a9d7	a9d7	a9d7	*	4d59	*	8ea1cdd9,cdd9,8ea1cdd9v,cdd9v	62bf	e68abf	62bf	000062bf	a9d7	a9d7	a9d7	a9d7	a9d7	a9d7	a9d7
1498	a9d8	a9d8	a9d8	*	4d5a	*	8ea1cdda,cdda,8ea1cddav,cddav	62c2	e68b82	62c2	000062c2	a9d8	a9d8	a9d8	a9d8	a9d8	a9d8	a9d8
1499	a9d9	a9d9	a9d9	*	4d5b	*	8ea1cddb,cddb,8ea1cddbv,cddbv	62b9	e68ab9	62b9	000062b9	a9d9	a9d9	a9d9	a9d9	a9d9	a9d9	a9d9
1500	a9da	a9da	a9da	*	4d5c	*	8ea1cddc,cddc,8ea1cddcv,cddcv	62d2	e68b92	62d2	000062d2	a9da	a9da	a9da	a9da	a9da	a9da	a9da
1501	a9db	a9db	a9db	*	4d5d	*	8ea1cddd,cddd,8ea1cdddv,cdddv	62db	e68b9b	62db	000062db	a9db	a9db	a9db	a9db	a9db	a9db	a9db
1502	a9dc	a9dc	a9dc	*	4d5e	*	8ea1cdde,cdde,8ea1cddev,cddev	62ab	e68aab	62ab	000062ab	a9dc	a9dc	a9dc	a9dc	a9dc	a9dc	a9dc
1503	a9dd	a9dd	a9dd	*	4d5f	*	8ea1cddf,cddf,8ea1cddfv,cddfv	62d3	e68b93	62d3	000062d3	a9dd	a9dd	a9dd	a9dd	a9dd	a9dd	a9dd
1504	a9de	a9de	a9de	*	4d60	*	8ea1cde0,cde0,8ea1cde0v,cde0v	62d4	e68b94	62d4	000062d4	a9de	a9de	a9de	a9de	a9de	a9de	a9de
1505	a9df	a9df	a9df	*	4d61	*	8ea1cde1,cde1,8ea1cde1v,cde1v	62cb	e68b8b	62cb	000062cb	a9df	a9df	a9df	a9df	a9df	a9df	a9df
1506	a9e0	a9e0	a9e0	*	4d62	*	8ea1cde2,cde2,8ea1cde2v,cde2v	62c8	e68b88	62c8	000062c8	a9e0	a9e0	a9e0	a9e0	a9e0	a9e0	a9e0
1507	a9e1	a9e1	a9e1	*	4d63	*	8ea1cde3,cde3,8ea1cde3v,cde3v	62a8	e68aa8	62a8	000062a8	a9e1	a9e1	a9e1	a9e1	a9e1	a9e1	a9e1
1508	a9e2	a9e2	a9e2	*	4d64	*	8ea1cde4,cde4,8ea1cde4v,cde4v	62bd	e68abd	62bd	000062bd	a9e2	a9e2	a9e2	a9e2	a9e2	a9e2	a9e2
1509	a9e3	a9e3	a9e3	*	4d65	*	8ea1cde5,cde5,8ea1cde5v,cde5v	62bc	e68abc	62bc	000062bc	a9e3	a9e3	a9e3	a9e3	a9e3	a9e3	a9e3
1510	a9e4	a9e4	a9e4	*	4d66	*	8ea1cde6,cde6,8ea1cde6v,cde6v	62d0	e68b90,eeb2a6	62d0,eca6	000062d0,0000eca6	9dc4,a9e4	a9e4	a9e4	a9e4	a9e4	a9e4	9dc4,a9e4
1511	a9e5	a9e5	a9e5	*	4d67	*	8ea1cde7,cde7,8ea1cde7v,cde7v	62d9	e68b99	62d9	000062d9	a9e5	a9e5	a9e5	a9e5	a9e5	a9e5	a9e5
1512	a9e6	a9e6	a9e6	*	4d68	*	8ea1cde8,cde8,8ea1cde8v,cde8v	62c7	e68b87	62c7	000062c7	a9e6	a9e6	a9e6	a9e6	a9e6	a9e6	a9e6
1513	a9e7	a9e7	a9e7	*	4d69	*	8ea1cde9,cde9,8ea1cde9v,cde9v	62cd	e68b8d	62cd	000062cd	a9e7	a9e7	a9e7	a9e7	a9e7	a9e7	a9e7
1514	a9e8	a9e8	a9e8	*	4d6a	*	8ea1cdea,cdea,8ea1cdeav,cdeav	62b5	e68ab5	62b5	000062b5	a9e8	a9e8	a9e8	a9e8	a9e8	a9e8	a9e8
1515	a9e9	a9e9	a9e9	*	4d6b	*	8ea1cdeb,cdeb,8ea1cdebv,cdebv	62da	e68b9a	62da	000062da	a9e9	a9e9	a9e9	a9e9	a9e9	a9e9	a9e9
1516	a9ea	a9ea	a9ea	*	4d6c	*	8ea1cdec,cdec,8ea1cdecv,cdecv	62b1	e68ab1	62b1	000062b1	a9ea	a9ea	a9ea	a9ea	a9ea	a9ea	a9ea
1517	a9eb	a9eb	a9eb	*	4d6d	*	8ea1cded,cded,8ea1cdedv,cdedv	62d8	e68b98	62d8	000062d8	a9eb	a9eb	a9eb	a9eb	a9eb	a9eb	a9eb
1518	a9ec	a9ec	a9ec	*	4d6e	*	8ea1cdee,cdee,8ea1cdeev,cdeev	62d6	e68b96	62d6	000062d6	a9ec	a9ec	a9ec	a9ec	a9ec	a9ec	a9ec
1519	a9ed	a9ed	a9ed	*	4d6f	*	8ea1cdef,cdef,8ea1cdefv,cdefv	62d7	e68b97	62d7	000062d7	a9ed	a9ed	a9ed	a9ed	a9ed	a9ed	a9ed
1520	a9ee	a9ee	a9ee	*	4d70	*	8ea1cdf0,cdf0,8ea1cdf0v,cdf0v	62c6	e68b86	62c6	000062c6	a9ee	a9ee	a9ee	a9ee	a9ee	a9ee	a9ee
1521	a9ef	a9ef	a9ef	*	4d71	*	8ea1cdf1,cdf1,8ea1cdf1v,cdf1v	62ac	e68aac	62ac	000062ac	a9ef	a9ef	a9ef	a9ef	a9ef	a9ef	a9ef
1522	a9f0	a9f0	a9f0	*	4d72	*	8ea1cdf2,cdf2,8ea1cdf2v,cdf2v	62ce	e68b8e,eeb992	62ce,ee52	000062ce,0000ee52	a077,a9f0	a9f0	a9f0	a9f0	a9f0	a9f0	a077,a9f0
1523	a9f1	a9f1	a9f1	*	4d73	*	8ea1cdf3,cdf3,8ea1cdf3v,cdf3v	653e	e694be	653e	0000653e	a9f1	a9f1	a9f1	a9f1	a9f1	a9f1	a9f1
1524	a9f2	a9f2	a9f2	*	4d74	*	8ea1cdf4,cdf4,8ea1cdf4v,cdf4v	65a7	e696a7	65a7	000065a7	a9f2	a9f2	a9f2	a9f2	a9f2	a9f2	a9f2
1525	a9f3	a9f3	a9f3	*	4d75	*	8ea1cdf5,cdf5,8ea1cdf5v,cdf5v	65bc	e696bc	65bc	000065bc	a9f3	a9f3	a9f3	a9f3	a9f3	a9f3	a9f3
1526	a9f4	a9f4	a9f4	*	4d76	*	8ea1cdf6,cdf6,8ea1cdf6v,cdf6v	65fa	e697ba	65fa	000065fa	a9f4	a9f4	a9f4	a9f4	a9f4	a9f4	a9f4
1527	a9f5	a9f5	a9f5	*	4d77	*	8ea1cdf7,cdf7,8ea1cdf7v,cdf7v	6614	e69894	6614	00006614	a9f5	a9f5	a9f5	a9f5	a9f5	a9f5	a9f5
1528	a9f6	a9f6	a9f6	*	4d78	*	8ea1cdf8,cdf8,8ea1cdf8v,cdf8v	6613	e69893	6613	00006613	a9f6	a9f6	a9f6	a9f6	a9f6	a9f6	a9f6
1529	a9f7	a9f7	a9f7	*	4d79	*	8ea1cdf9,cdf9,8ea1cdf9v,cdf9v	660c	e6988c	660c	0000660c	a9f7	a9f7	a9f7	a9f7	a9f7	a9f7	a9f7
1530	a9f8	a9f8	a9f8	*	4d7a	*	8ea1cdfa,cdfa,8ea1cdfav,cdfav	6606	e69886	6606	00006606	a9f8	a9f8	a9f8	a9f8	a9f8	a9f8	a9f8
1531	a9f9	a9f9	a9f9	*	4d7b	*	8ea1cdfb,cdfb,8ea1cdfbv,cdfbv	6602	e69882	6602	00006602	a9f9	a9f9	a9f9	a9f9	a9f9	a9f9	a9f9
1532	a9fa	a9fa	a9fa	*	4d7c	*	8ea1cdfc,cdfc,8ea1cdfcv,cdfcv	660e	e6988e	660e	0000660e	a9fa	a9fa	a9fa	a9fa	a9fa	a9fa	a9fa
1533	a9fb	a9fb	a9fb	*	4d7d	*	8ea1cdfd,cdfd,8ea1cdfdv,cdfdv	6600	e69880	6600	00006600	a9fb	a9fb	a9fb	a9fb	a9fb	a9fb	a9fb
1534	a9fc	a9fc	a9fc	*	4d7e	*	8ea1cdfe,cdfe,8ea1cdfev,cdfev	660f	e6988f	660f	0000660f	a9fc	a9fc	a9fc	a9fc	a9fc	a9fc	a9fc
1535	a9fd	a9fd	a9fd	*	4e21	*	8ea1cea1,cea1,8ea1cea1v,cea1v	6615	e69895	6615	00006615	a9fd	a9fd	a9fd	a9fd	a9fd	a9fd	a9fd
1536	a9fe	a9fe	a9fe	*	4e22	*	8ea1cea2,cea2,8ea1cea2v,cea2v	660a	e6988a	660a	0000660a	a9fe	a9fe	a9fe	a9fe	a9fe	a9fe	a9fe
1537	aa40	aa40	aa40	*	4e23	*	8ea1cea3,cea3,8ea1cea3v,cea3v	6607	e69887	6607	00006607	aa40	aa40	aa40	aa40	aa40	aa40	aa40
1538	aa41	aa41	aa41	*	4e24	*	8ea1cea4,cea4,8ea1cea4v,cea4v	670d	e69c8d	670d	0000670d	aa41	aa41	aa41	aa41	aa41	aa41	aa41
1539	aa42	aa42	aa42	*	4e25	*	8ea1cea5,cea5,8ea1cea5v,cea5v	670b	e69c8b	670b	0000670b	aa42	aa42	aa42	aa42	aa42	aa42	aa42
1540	aa43	aa43	aa43	*	4e26	*	8ea1cea6,cea6,8ea1cea6v,cea6v	676d	e69dad	676d	0000676d	aa43	aa43	aa43	aa43	aa43	aa43	aa43
1541	aa44	aa44	aa44	*	4e27	*	8ea1cea7,cea7,8ea1cea7v,cea7v	678b	e69e8b	678b	0000678b	aa44	aa44	aa44	aa44	aa44	aa44	aa44
1542	aa45	aa45	aa45	*	4e28	*	8ea1cea8,cea8,8ea1cea8v,cea8v	6795	e69e95	6795	00006795	aa45	aa45	aa45	aa45	aa45	aa45	aa45
1543	aa46	aa46	aa46	*	4e29	*	8ea1cea9,cea9,8ea1cea9v,cea9v	6771	e69db1	6771	00006771	aa46	aa46	aa46	aa46	aa46	aa46	aa46
1544	aa47	aa47	aa47	*	4e2a	*	8ea1ceaa,ceaa,8ea1ceaav,ceaav	679c	e69e9c	679c	0000679c	aa47	aa47	aa47	aa47	aa47	aa47	aa47
1545	aa48	aa48	aa48	*	4e2b	*	8ea1ceab,ceab,8ea1ceabv,ceabv	6773	e69db3	6773	00006773	aa48	aa48	aa48	aa48	aa48	aa48	aa48
1546	aa49	aa49	aa49	*	4e2c	*	8ea1ceac,ceac,8ea1ceacv,ceacv	6777	e69db7	6777	00006777	aa49	aa49	aa49	aa49	aa49	aa49	aa49
1547	aa4a	aa4a	aa4a	*	4e2d	*	8ea1cead,cead,8ea1ceadv,ceadv	6787	e69e87	6787	00006787	aa4a	aa4a	aa4a	aa4a	aa4a	aa4a	aa4a
1548	aa4b	aa4b	aa4b	*	4e2e	*	8ea1ceae,ceae,8ea1ceaev,ceaev	679d	e69e9d	679d	0000679d	aa4b	aa4b	aa4b	aa4b	aa4b	aa4b	aa4b
1549	aa4c	aa4c	aa4c	*	4e2f	*	8ea1ceaf,ceaf,8ea1ceafv,ceafv	6797	e69e97	6797	00006797	aa4c	aa4c	aa4c	aa4c	aa4c	aa4c	aa4c
1550	aa4d	aa4d	aa4d	*	4e30	*	8ea1ceb0,ceb0,8ea1ceb0v,ceb0v	676f	e69daf	676f	0000676f	aa4d	aa4d	aa4d	aa4d	aa4d	aa4d	aa4d
1551	aa4e	aa4e	aa4e	*	4e31	*	8ea1ceb1,ceb1,8ea1ceb1v,ceb1v	6770	e69db0	6770	00006770	aa4e	aa4e	aa4e	aa4e	aa4e	aa4e	aa4e
1552	aa4f	aa4f	aa4f	*	4e32	*	8ea1ceb2,ceb2,8ea1ceb2v,ceb2v	677f	e69dbf	677f	0000677f	aa4f	aa4f	aa4f	aa4f	aa4f	aa4f	aa4f
1553	aa50	aa50	aa50	*	4e33	*	8ea1ceb3,ceb3,8ea1ceb3v,ceb3v	6789	e69e89	6789	00006789	aa50	aa50	aa50	aa50	aa50	aa50	aa50
1554	aa51	aa51	aa51	*	4e34	*	8ea1ceb4,ceb4,8ea1ceb4v,ceb4v	677e	e69dbe	677e	0000677e	aa51	aa51	aa51	aa51	aa51	aa51	aa51
1555	aa52	aa52	aa52	*	4e35	*	8ea1ceb5,ceb5,8ea1ceb5v,ceb5v	6790	e69e90	6790	00006790	aa52	aa52	aa52	aa52	aa52	aa52	aa52
1556	aa53	aa53	aa53	*	4e36	*	8ea1ceb6,ceb6,8ea1ceb6v,ceb6v	6775	e69db5	6775	00006775	aa53	aa53	aa53	aa53	aa53	aa53	aa53
1557	aa54	aa54	aa54	*	4e37	*	8ea1ceb7,ceb7,8ea1ceb7v,ceb7v	679a	e69e9a	679a	0000679a	aa54	aa54	aa54	aa54	aa54	aa54	aa54
1558	aa55	aa55	aa55	*	4e38	*	8ea1ceb8,ceb8,8ea1ceb8v,ceb8v	6793	e69e93	6793	00006793	aa55	aa55	aa55	aa55	aa55	aa55	aa55
1559	aa56	aa56	aa56	*	4e39	*	8ea1ceb9,ceb9,8ea1ceb9v,ceb9v	677c	e69dbc	677c	0000677c	aa56	aa56	aa56	aa56	aa56	aa56	aa56
1560	aa57	aa57	aa57	*	4e3a	*	8ea1ceba,ceba,8ea1cebav,cebav	676a	e69daa	676a	0000676a	aa57	aa57	aa57	aa57	aa57	aa57	aa57
1561	aa58	aa58	aa58	*	4e3b	*	8ea1cebb,cebb,8ea1cebbv,cebbv	6772	e69db2	6772	00006772	aa58	aa58,fcb0	9061,aa58	aa58	aa58	aa58	aa58
1562	aa59	aa59	aa59	*	4e3c	*	8ea1cebc,cebc,8ea1cebcv,cebcv	6b23	e6aca3	6b23	00006b23	aa59	aa59	aa59	aa59	aa59	aa59	aa59
1563	aa5a	aa5a	aa5a	*	4e3d	*	8ea1cebd,cebd,8ea1cebdv,cebdv	6b66	e6ada6	6b66	00006b66	aa5a	aa5a	aa5a	aa5a	aa5a	aa5a	aa5a
1564	aa5b	aa5b	aa5b	*	4e3e	*	8ea1cebe,cebe,8ea1cebev,cebev	6b67	e6ada7	6b67	00006b67	aa5b	aa5b	9265,aa5b	aa5b	aa5b	aa5b	aa5b
1565	aa5c	aa5c	aa5c	*	4e3f	*	8ea1cebf,cebf,8ea1cebfv,cebfv	6b7f	e6adbf	6b7f	00006b7f	aa5c	aa5c	aa5c	aa5c	aa5c	aa5c	aa5c
1566	aa5d	aa5d	aa5d	*	4e40	*	8ea1cec0,cec0,8ea1cec0v,cec0v	6c13	e6b093	6c13	00006c13	aa5d	aa5d	aa5d	aa5d	aa5d	aa5d	aa5d
1567	aa5e	aa5e	aa5e	*	4e41	*	8ea1cec1,cec1,8ea1cec1v,cec1v	6c1b	e6b09b	6c1b	00006c1b	aa5e	aa5e	aa5e	aa5e	aa5e	aa5e	aa5e
1568	aa5f	aa5f	aa5f	*	4e42	*	8ea1cec2,cec2,8ea1cec2v,cec2v	6ce3	e6b3a3	6ce3	00006ce3	aa5f	aa5f	aa5f	aa5f	aa5f	aa5f	aa5f
1569	aa60	aa60	aa60	*	4e43	*	8ea1cec3,cec3,8ea1cec3v,cec3v	6ce8	e6b3a8	6ce8	00006ce8	aa60	aa60	aa60	aa60	aa60	aa60	aa60
1570	aa61	aa61	aa61	*	4e44	*	8ea1cec4,cec4,8ea1cec4v,cec4v	6cf3	e6b3b3	6cf3	00006cf3	aa61	aa61	aa61	aa61	aa61	aa61	aa61
1571	aa62	aa62	aa62	*	4e45	*	8ea1cec5,cec5,8ea1cec5v,cec5v	6cb1	e6b2b1	6cb1	00006cb1	aa62	aa62	aa62	aa62	aa62	aa62	aa62
1572	aa63	aa63	aa63	*	4e46	*	8ea1cec6,cec6,8ea1cec6v,cec6v	6ccc	e6b38c	6ccc	00006ccc	aa63	aa63	aa63	aa63	aa63	aa63	aa63
1573	aa64	aa64	aa64	*	4e47	*	8ea1cec7,cec7,8ea1cec7v,cec7v	6ce5	e6b3a5	6ce5	00006ce5	aa64	aa64	aa64	aa64	aa64	aa64	aa64
1574	aa65	aa65	aa65	*	4e48	*	8ea1cec8,cec8,8ea1cec8v,cec8v	6cb3	e6b2b3	6cb3	00006cb3	aa65	aa65	aa65	aa65	aa65	aa65	aa65
1575	aa66	aa66	aa66	*	4e49	*	8ea1cec9,cec9,8ea1cec9v,cec9v	6cbd	e6b2bd	6cbd	00006cbd	aa66	aa66	aa66	aa66	aa66	aa66	aa66
1576	aa67	aa67	aa67	*	4e4a	*	8ea1ceca,ceca,8ea1cecav,cecav	6cbe	e6b2be	6cbe	00006cbe	aa67	aa67	aa67	aa67	aa67	aa67	aa67
1577	aa68	aa68	aa68	*	4e4b	*	8ea1cecb,cecb,8ea1cecbv,cecbv	6cbc	e6b2bc	6cbc	00006cbc	aa68	aa68	aa68	aa68	aa68	aa68	aa68
1578	aa69	aa69	aa69	*	4e4c	*	8ea1cecc,cecc,8ea1ceccv,ceccv	6ce2	e6b3a2	6ce2	00006ce2	aa69	aa69	aa69	aa69	aa69	aa69	aa69
1579	aa6a	aa6a	aa6a	*	4e4d	*	8ea1cecd,cecd,8ea1cecdv,cecdv	6cab	e6b2ab	6cab	00006cab	aa6a	aa6a	aa6a	aa6a	aa6a	aa6a	aa6a
1580	aa6b	aa6b	aa6b	*	4e4e	*	8ea1cece,cece,8ea1cecev,cecev	6cd5	e6b395	6cd5	00006cd5	aa6b	aa6b	aa6b	aa6b	aa6b	aa6b	aa6b
1581	aa6c	aa6c	aa6c	*	4e4f	*	8ea1cecf,cecf,8ea1cecfv,cecfv	6cd3	e6b393	6cd3	00006cd3	aa6c	aa6c	aa6c	aa6c	aa6c	aa6c	aa6c
1582	aa6d	aa6d	aa6d	*	4e50	*	8ea1ced0,ced0,8ea1ced0v,ced0v	6cb8	e6b2b8	6cb8	00006cb8	aa6d	aa6d	aa6d	aa6d	aa6d	aa6d	aa6d
1583	aa6e	aa6e	aa6e	*	4e51	*	8ea1ced1,ced1,8ea1ced1v,ced1v	6cc4	e6b384	6cc4	00006cc4	aa6e	aa6e	aa6e	aa6e	aa6e	aa6e	aa6e
1584	aa6f	aa6f	aa6f	*	4e52	*	8ea1ced2,ced2,8ea1ced2v,ced2v	6cb9	e6b2b9	6cb9	00006cb9	aa6f	aa6f	aa6f	aa6f	aa6f	aa6f	aa6f
1585	aa70	aa70	aa70	*	4e53	*	8ea1ced3,ced3,8ea1ced3v,ced3v	6cc1	e6b381	6cc1	00006cc1	aa70	aa70	aa70	aa70	aa70	aa70	aa70
